country;continent;year;lifeExp;pop;gdpPercap
Netherlands;Europe;2001;78.45;16017445;33908083360000000
United States;Americas;1994;76.02;263435673;33338143469999900
Switzerland;Europe;1998;79.62;7207995;33039504539999900
Switzerland;Europe;1991;77.72;6920562;32207744130000000
Switzerland;Europe;1997;79.37;7193761;32135323010000000
Denmark;Europe;2000;76.9;5337416;32016753010000000
Switzerland;Europe;1994;78.61;7114530;31599619280000000
Switzerland;Europe;1996;79.17;7181024;31589723810000000
Honduras;Americas;1982;60.909;3669448;31217607940000000
Canada;;1999;79.06;30957019;31154856460000000
Mongolia;Asia;2007;66.803;2874127;30957722710000000
Hong Kong  China;;2002;81.495;6762476;30209015160000000
United Arab Emirates;Asia;1997;76.186;2254266;29989448480000000
United States;Americas;1987;75.02;242803533;29884350410000000
Germany;Europe;2000;78.21;82187909;29726878760000000
Sweden;Europe;2002;80.04;8954175;29341630930000000
Switzerland;Europe;1984;76.82;6529684;29128188960000000
Austria;Europe;1997;77.51;8069876;29095920660000000
Djibouti;Africa;1957;37.328;71851;28649690760000000
Japan;Asia;2001;81.7;126891645;28569054910000000
Netherlands;Europe;1995;77.64;15459054;28303369810000000
Australia;;1998;79.33;18768789;28169153410000000
Iceland;Europe;1997;78.95;271192;28061099660000000
Canada;;1994;78.02;29262472;27543908110000000
Tunisia;Africa;1972;55.602;5303507;27532859940000000
Iceland;Europe;1996;78.84;269000;27027254010000000
Austria;Europe;1993;76.27;7988599;26882044060000000
Congo  Rep.;Africa;1967;52.04;1179760;26779396420000000
Luxembourg;Europe;1974;70.55;355050;26441810230000000
Switzerland;Europe;1975;74.82;6403500;26353030280000000
Costa Rica;Americas;1952;57.206;926317;26270094710000000
Moldova;Europe;2007;68.865;4480560;26047505260000000
Mauritius;Africa;1962;60.246;701016;25290674870000000
Sweden;Europe;1989;77.74;8526276;24357831680000000
Guatemala;Americas;1952;42.023;3146381;24282377690000000
Korea  Rep.;Asia;2007;78.623;49044790;23348139730000000
Sweden;Europe;1993;78.24;8769284;23254136980000000
Macao  China;Asia;1992;77.3;375382;22917232030000000
Botswana;Africa;1972;56.024;619351;22636111140000000
West Bank and Gaza;Asia;1962;48.127;1133134;21989563120000000
Italy;Europe;1993;77.72;57026746;21826218780000000
Bosnia and Herzegovina;Europe;1967;64.79;3585000;21723524230000000
Cote d'Ivoire;Africa;1987;54.655;10761098;21569560690000000
Djibouti;Africa;2007;54.791;496374;20824815670000000
Canada;;1975;73.49;23209200;20775505080000000
Denmark;Europe;1978;74.45;5104247;20660161030000000
Belgium;Europe;1979;73.24;9837200;20090120430000000
Portugal;Europe;2004;78.31;10524145;19942443580000000
Thailand;Asia;1977;62.494;44148285;19612246350000000
Tunisia;Africa;1967;52.053;4786986;19323601670000000
Sweden;Europe;1978;75.53;8275778;19217416080000000
Malaysia;Asia;1957;52.102;7739235;18100669920000000
Sudan;Africa;1957;39.624;9753392;17703370739999900
Luxembourg;Europe;1961;69.57;316845;17621051330000000
Czech Republic;Europe;2002;75.51;10256295;17596210219999900
Italy;Europe;1984;75.56;56696963;17530693890000000
Switzerland;Europe;1956;70.21;5045000;17501931959999900
Canada;;1970;72.65;21749986;17487457130000000
Norway;Europe;1970;74.08;3877386;17411504780000000
Libya;Africa;1982;62.155;3344074;17364275380000000
Japan;Asia;1978;75.7;114912911;17327759130000000
Cote d'Ivoire;Africa;1962;44.93;3832408;17288694280000000
Canada;;1969;72.45;21448073;17286993290000000
Czech Republic;Europe;2001;75.39;10262308;17255902280000000
Norway;Europe;1969;73.67;3850977;17189353730000000
Luxembourg;Europe;1960;69.07;313969;17086721709999900
Cameroon;Africa;1972;47.049;7021028;16841465280000000
New Zealand;Oceania;1973;71.75;2992300;16823024569999900
Taiwan;Asia;1960;64.4;11209160;16796096059999900
French Polynesia;;1977;62.427;138156;16682106819999900
Portugal;Europe;1995;75.58;10065543;16486836369999900
Portugal;Europe;1992;74.86;9927680;16207266630000000
Taiwan;Asia;1993;74.55;20883467;16120590369999900
Slovenia;Europe;1995;74.67;2002827;15857284780000000
Portugal;Europe;1993;74.77;9967832;15812161569999900
Italy;Europe;1979;74.16;56367710;15712139980000000
Australia;;1969;71.14;12379384;15647109380000000
Finland;Europe;1974;71.3;4690574;15614723419999900
Czech Republic;Europe;1995;73.26;10323830;15493473080000000
Poland;Europe;2007;75.563;38518241;15389924680000000
United States;Americas;1960;69.91;180671000;15374018219999900
Slovenia;Europe;1977;70.97;1746919;15277030169999900
Finland;Europe;1973;71.38;4666081;15235132919999900
West Bank and Gaza;Asia;1952;43.16;1030585;15155923289999900
Slovenia;Europe;1991;73.5;1999480;15100590080000000
Croatia;Europe;2007;75.748;4493312;14619222719999900
Canada;;1964;71.69;19711053;14510899330000000
New Zealand;Oceania;1967;71.52;2728150;14463918930000000
Armenia;;1992;68.663;3378331;14429377960000000
French Polynesia;;1967;59.191;102756;14244022819999900
Slovak Republic;Europe;2003;73.84;5416406;14207563999999900
United States;Americas;1952;68.44;157553000;13990482080000000
Sweden;Europe;1964;73.73;7661354;13839082380000000
Slovak Republic;Europe;2002;73.8;5410052;13638778369999900
Kenya;Africa;1997;54.407;28263827;13604850210000000
Hungary;Europe;2000;71.83;10137449;13592350869999900
Kenya;Africa;1992;59.285;25020539;13419217210000000
Sierra Leone;Africa;1987;40.006;3868905;12944477880000000
Somalia;Africa;1967;38.977;3428839;12847331800000000
Nigeria;Africa;1962;39.36;41871351;11509274779999900
Sierra Leone;Africa;1962;32.767;2467895;11166398769999900
Ghana;Africa;2002;58.453;20550751;11119845779999900
Nigeria;Africa;1957;37.802;37173340;11005925630000000
Netherlands;Europe;1958;73.15;11186875;10999303440000000
Australia;;1955;70.17;9277087;10864617740000000
Taiwan;Asia;1950;54.6;7981454;10641007140000000
Ghana;Africa;1957;44.779;6391288;10435615369999900
Taiwan;Asia;1985;72.99;19337363;8973481518999990
Congo  Dem. Rep.;Africa;1962;42.122;17486434;8963146335000000
Cambodia;Asia;2002;56.752;12926707;8962260152999990
Cyprus;Europe;1977;73.7;598400;8898469476999990
Gambia;Africa;1977;41.842;608274;8847552507000000
Togo;Africa;2007;58.42;5701579;8829699437999990
Trinidad and Tobago;Americas;1997;69.465;1138101;8792573126000000
Guinea;Africa;1977;40.762;4227026;8746858642999990
Latvia;FSU;1982;69.71;2552229;8728455351999990
Guinea;Africa;1997;51.455;8048834;8694497667999990
France;Europe;1957;68.93;44310863;8662834898000000
Taiwan;Asia;1984;72.81;19083348;8653915923999990
Solomon Islands;Oceania;1972;55.506;174500;8649742530999990
Italy;Europe;1963;69.35;51198300;8636907159999990
Rwanda;Africa;2007;46.242;8860588;8630884639000000
Russia;FSU;2000;65.37;146731774;8608397257999990
Indonesia;Asia;1957;39.918;90124000;8589002707000000
India;Asia;1982;56.596;708000000;8557235377000000
Burkina Faso;Africa;1972;43.591;5433886;8547359763000000
Kenya;Africa;1952;42.27;6464046;8535409189999990
Afghanistan;Asia;1962;31.997;10267083;8531007099999990
Sweden;Europe;1952;71.86;7124673;8527844662000000
Afghanistan;Asia;1987;40.822;13867957;8523959447999990
Indonesia;Asia;1962;42.518;99028000;8492897700999990
Central African Republic;Africa;1987;50.485;2840009;8448763504000000
Uganda;Africa;1977;50.35;11457758;8437331372000000
Venezuela;Americas;1962;60.77;8143375;8422974165000000
Hungary;Europe;1965;69.17;10152934;8403477993999990
Bangladesh;Asia;1992;56.018;113704579;8378101642999990
Spain;Europe;1968;71.73;33239301;8374242965000000
Sweden;Europe;1950;71.14;7014005;8364828768000000
Gambia;Africa;1982;45.58;715523;8358096107999990
Niger;Africa;1957;38.598;3692184;8355234025000000
Belgium;Europe;1952;68.0;8730405;8343105126999990
Estonia;Europe;1992;69.14;1528715;8245731834999990
Guinea-Bissau;Africa;1972;36.486;625361;8202245876000000
Poland;Europe;1990;70.75;38119408;8172110084999990
Bhutan;Asia;1977;44.708;1205659;8163101525000000
India;Asia;1977;54.208;634000000;8133373230000000
Brazil;Americas;2002;71.006;179914212;8131212843000000
Niger;Africa;1977;41.291;5682086;8088970727999990
Bhutan;Asia;1972;41.837;1087991;8076225857999990
Guinea;Africa;1987;45.552;5650262;8055724717999990
Argentina;Americas;1967;65.634;22934225;8052953020999990
Poland;Europe;1972;70.85;33039545;8006506993000000
Zimbabwe;Africa;1972;55.635;5861135;7993621757999990
Belgium;Europe;1950;66.35;8639369;7990465840000000
Brazil;Americas;1997;69.388;168546719;7957980823999990
Thailand;Asia;1957;53.63;25041917;7935774147999990
Zimbabwe;Africa;1997;46.809;11404948;7924499602999990
Serbia;Europe;1997;72.232;10336594;7914320304000000
Finland;Europe;1959;68.81;4394700;7907517148000000
Trinidad and Tobago;Americas;1977;68.3;1039009;7899554209000000
Rwanda;Africa;2002;43.413;7852401;7856537647999990
Czech Republic;Europe;1956;69.37;9442040;7855581256999990
Italy;Europe;1961;69.85;50523200;7820210212000000
Brazil;Americas;1987;65.205;142938076;7807095818000000
Belarus;FSU;2004;69.1;10310520;7806724445999990
Barbados;;1967;67.62;238224;7788544084999990
Lesotho;Africa;1987;57.18;1599200;7739932140999990
Uruguay;Americas;2002;75.307;3363085;7727002004000000
Costa Rica;Americas;2002;78.123;3834934;7723447195000000
Vietnam;Asia;1962;45.363;33796140;7720491602000000
Russia;FSU;1997;66.79;148077459;7696144676999990
Uganda;Africa;1962;45.344;7688797;7672717397999990
Guinea-Bissau;Africa;1977;37.465;745228;7647259627999990
Lebanon;Asia;1982;66.983;3086876;7640519520999990
Cyprus;Europe;1972;71.41;626300;7624588570999990
Bulgaria;Europe;1975;71.05;8720742;7527863173000000
Latvia;FSU;1977;69.45;2491407;7488923551999990
Iceland;Europe;1951;71.05;145604;7468805837000000
Thailand;Asia;2007;70.616;65068149;7458396326999990
Jamaica;Americas;1972;69.0;1997616;7433889293000000
Mauritius;Africa;1997;70.736;1149818;7425705295000000
Afghanistan;Asia;1972;36.088;13079460;7399811057999990
Malta;Europe;1977;72.167;332066;7348855743999990
Romania;Europe;1997;69.72;22562458;7346547556999990
Cuba;Americas;1982;73.717;9789224;7316918106999990
Italy;Europe;1960;69.21;50197600;7314830776000000
Slovak Republic;Europe;1963;70.71;4281858;7292141168999990
Finland;Europe;1956;67.99;4281700;7277784157999990
Iran;Asia;1992;65.742;60397973;7235653187999990
Bangladesh;Asia;1967;43.453;62821884;7211860862000000
Guinea-Bissau;Africa;1967;35.492;601287;7155806402000000
Germany;Europe;1952;67.5;69145952;7144114393000000
Latvia;FSU;1997;69.56;2435967;7143441634999990
Finland;Europe;1955;67.37;4234900;7142394529000000
Liberia;Africa;1967;41.536;1279406;7136036482999990
Vietnam;Asia;1977;55.764;50533506;7135371196000000
Argentina;Americas;1962;65.142;21283783;7133166023000000
Jamaica;Americas;1997;72.262;2531311;7121924704000000
South Africa;Africa;1967;51.927;20997321;7114477970999990
Ecuador;Americas;1992;69.613;10748394;7103702595000000
Portugal;Europe;1969;66.52;9097200;7079032443000000
Poland;Europe;1970;69.87;32526000;7076386329999990
Montenegro;Europe;1992;75.435;621621;7003339037000000
Belarus;FSU;2003;68.7;10322151;6999864668000000
Sierra Leone;Africa;2002;41.012;5359092;6994897129999990
Bulgaria;Europe;1974;71.2;8678745;6989571515000000
Hungary;Europe;1960;68.09;9983512;6954291576000000
Brazil;Americas;1992;67.057;155975974;6950283020999990
Malawi;Africa;1997;47.495;10419991;6922758102999990
Uruguay;Americas;1982;70.805;2953997;6920223051000000
Cape Verde;Africa;1972;57.48;275392;6915225912999990
Finland;Europe;1954;67.57;4186900;6874027206000000
Ecuador;Americas;2007;74.994;13755680;6873262326000000
Bangladesh;Asia;1962;41.216;56839289;6863415537999990
Cambodia;Asia;1987;53.914;8371791;6838955732000000
Uganda;Africa;1982;49.849;12939400;6822662267999990
Bulgaria;Europe;1995;70.95;8255811;6820307623999990
Mexico;Americas;1972;62.361;55984294;6809406690000000
Belarus;FSU;1990;71.15;10215208;6807781056999990
Belize;;2002;75.586;261138;6799541995000000
Spain;Europe;1964;70.58;31740862;6765927648000000
Vietnam;Asia;1957;42.887;28998543;6762854477999990
Zimbabwe;Africa;2002;39.989;11926563;6720386227000000
Hungary;Europe;1959;67.32;9937000;6639866072999990
Bangladesh;Asia;1977;46.923;80428306;6598772322000000
Afghanistan;Asia;1992;41.674;16317921;6493413952000000
Latvia;FSU;1996;68.93;2460277;6488442082000000
Luxembourg;Europe;2002;78.09;450786;6442103482000000
Uganda;Africa;1992;48.825;18252190;6441707968999990
Eritrea;Africa;2007;58.04;4906585;6413695236000000
Liberia;Africa;1977;43.764;1703617;6403224382999990
Cuba;Americas;1977;72.649;9537988;6380494965999990
Liberia;Africa;1992;40.802;1912974;6366229191000000
Malawi;Africa;1987;47.457;7824747;6355173633999990
Bulgaria;Europe;1992;71.19;8658506;6302623438000000
Peru;Americas;1977;58.447;15990099;6281290854999990
Niger;Africa;2007;56.867;12894865;6196768923999990
Mali;Africa;1982;43.916;6998256;6180140640999990
Burkina Faso;Africa;1957;34.906;4713416;6171834647999990
Latvia;FSU;1992;68.57;2615869;6151514963000000
Colombia;Americas;1997;70.313;37657830;6117361746000000
Gambia;Africa;1987;49.265;848406;6116588611000000
Lebanon;Asia;1957;59.489;1647412;6089786934000000
Suriname;Americas;2002;69.126;433682;6070681315999990
Mauritius;Africa;1992;69.745;1096202;6058253846000000
Poland;Europe;1965;69.5;31262358;6052025449000000
Nepal;Asia;1957;37.686;9682338;5979363557999990
Rwanda;Africa;1962;43.0;3051242;5974730727000000
Albania;Europe;2007;76.423;3600523;5937029525999990
Luxembourg;Europe;1999;77.68;432527;5934952097000000
Rwanda;Africa;1972;44.6;3992121;5905806637999990
Bulgaria;Europe;1969;70.43;8434172;5868782679999990
Hungary;Europe;1955;66.88;9825000;5850989000000000
Equatorial Guinea;Africa;1962;37.485;249220;5828419713999990
Liberia;Africa;1952;38.48;863308;5755729961000000
Ethiopia;Africa;1987;46.684;42999530;5737413142000000
Tunisia;Africa;2002;73.042;9770575;5722895654999990
Ethiopia;Africa;1972;43.515;30770372;5662439442000000
Burundi;Africa;1982;47.471;4580410;5596032309999990
Poland;Europe;1961;67.98;29978949;5475677263000000
Nepal;Asia;1952;36.157;9182536;5458657228999990
Brunei;Asia;1972;68.34;141500;5411715906000000
Rwanda;Africa;1957;41.5;2822082;5402893982999990
El Salvador;Americas;2002;70.734;6353681;5351568665999990
Cambodia;Asia;1977;31.22;6978607;5249721831999990
Micronesia  Fed. Sts.;;1977;64.693;70368;5234545679999990
Maldives;;2007;68.464;369031;5166821660000000
Eritrea;Africa;1972;44.142;2260187;5143242081999990
Poland;Europe;1960;67.86;29589842;5137593634000000
Guinea;Africa;1952;33.609;2664249;5101964923000000
Trinidad and Tobago;Americas;1962;64.9;887498;4997523971000000
Lesotho;Africa;1972;49.767;1116779;4965815922000000
Italy;Europe;1952;65.94;47666000;4931404154999990
Algeria;Africa;1977;58.014;17152804;4910416756000000
Thailand;Asia;1992;67.298;56667095;4616896545000000
Spain;Europe;1959;68.77;30372877;4571300918999990
Norway;Europe;2000;78.76;4492400;4358757941000000
Congo  Rep.;Africa;1987;57.47;2064095;4201194936999990
Norway;Europe;1998;78.49;4432718;4191299271000000
Eritrea;Africa;1962;40.158;1666618;3809958433000000
Albania;Europe;1977;68.93;2509048;3533003910000000
Luxembourg;Europe;1987;74.15;371660;3451886801000000
Lesotho;Africa;1957;45.047;813338;3359971151000000
Maldives;;1997;63.413;274366;2945765301000000
Djibouti;Africa;1992;51.604;384156;2377156192000000
Philippines;Asia;1992;66.458;67185766;2279324017000000
Solomon Islands;Oceania;1997;60.708;424265;2252491044000000
Hungary;Europe;1971;69.13;10364869;9982612568
United Kingdom;Europe;1952;69.18;50430000;9979508487
Niger;Africa;1962;39.487;4076008;9977661127
Ghana;Africa;1977;51.756;10538093;9932239571
Slovak Republic;Europe;1973;70.05;4637193;9932092651
Spain;Europe;1971;71.85;34195056;9918210638
Sweden;Europe;1957;72.49;7363802;9911878226
Taiwan;Asia;1986;73.12;19555581;9903312959
Latvia;FSU;1986;71.01;2626695;9893284982
Venezuela;Americas;1987;70.19;17910182;9883584648
Czech Republic;Europe;1963;70.42;9666468;9880818469
Croatia;Europe;1997;73.68;4444595;9875604515
Madagascar;Africa;1997;54.978;14165114;9862958956
Comoros;Africa;2007;65.152;710960;9861478792
Maldives;;1982;57.137;164210;9854992676
Barbados;;1972;69.42;242445;9853806374
Japan;Asia;1967;71.43;100825279;9847788607
Norway;Europe;1951;72.54;3295871;9845992115
Botswana;Africa;1962;51.52;512764;9836539764
Togo;Africa;1997;58.39;4320890;9822869243
Venezuela;Americas;1957;57.907;6702668;9802466526
Iceland;Europe;1958;73.43;168771;9789869797
Serbia;Europe;2007;74.002;10150265;9786534714
Afghanistan;Asia;1982;39.854;12881816;9780114388
Lesotho;Africa;1992;59.685;1803195;9774862725
Puerto Rico;Americas;1977;73.44;3080828;9770524921
United Kingdom;Europe;1950;69.03;50127000;9766503753
Poland;Europe;1978;70.6;34929072;9766194029
India;Asia;1987;58.553;788000000;9765126756
Czech Republic;Europe;1960;70.46;9659818;9763502773
Afghanistan;Asia;2007;43.828;31889923;9745803384
Lithuania;FSU;1992;70.4;3700278;9743510738
Bosnia and Herzegovina;Europe;1952;53.82;2791000;9735331948
Bangladesh;Asia;1997;59.412;123315288;9727700352
Belgium;Europe;1957;69.24;8989111;9714960623
Romania;Europe;1987;69.53;22686371;9696273295
Denmark;Europe;1952;70.78;4334000;9692385245
Estonia;Europe;1997;70.13;1413351;9689843315
Sweden;Europe;1956;72.66;7314552;9680239638
Denmark;Europe;1950;70.33;4271000;9675477458
Belgium;Europe;1959;70.33;9103729;9675467689
Slovak Republic;Europe;1972;70.35;4593433;9674167626
Equatorial Guinea;Africa;1987;45.664;341244;9668968149
Denmark;Europe;1951;70.93;4303620;9666254146
Hungary;Europe;1969;69.4;10302814;9647235758
France;Europe;1960;70.4;45670000;9640940051
Libya;Africa;1992;68.755;4364501;9640138501
Slovak Republic;Europe;1993;71.9;5323577;9636518229
Lithuania;FSU;2000;72.14;3654387;9631652985
Tanzania;Africa;1977;49.919;17129565;9624922932
China;Asia;1982;65.525;1000281000;9624213805
Iran;Asia;1972;55.234;30614000;9613818607
Finland;Europe;1963;69.16;4523309;9612397646
Mexico;Americas;1982;67.405;71640904;9611147541
Romania;Europe;1982;69.66;22356726;9605314053
Netherlands;Europe;1953;71.71;10493184;9596895432
Latvia;FSU;1984;69.51;2587996;9596890615
Benin;Africa;1957;40.358;1925173;9596010805
Montenegro;Europe;1977;73.066;560073;9595929905
Equatorial Guinea;Africa;1977;42.024;192675;9585668124
Hungary;Europe;1970;69.24;10337004;9581972224
Iraq;Asia;1972;56.95;10061506;9576037596
Russia;FSU;2002;65.01;145266326;9568214741
Central African Republic;Africa;1982;48.295;2476971;9567529907
Kuwait;Asia;1962;60.47;358266;9545811176
Niger;Africa;1972;40.546;5060262;9542092363
Venezuela;Americas;1967;63.479;9709552;9541474188
Libya;Africa;2002;72.737;5368585;9534677467
Ireland;Europe;1972;71.28;3024400;9530772896
Belgium;Europe;1956;68.87;8923845;9529403593
Poland;Europe;1996;72.39;38629842;9518902961
Poland;Europe;1977;70.67;34621254;9508141454
Italy;Europe;1966;71.02;52331600;9503610165
Latvia;FSU;1985;69.63;2606405;9502493873
Slovak Republic;Europe;1992;71.38;5302888;9498467723
Poland;Europe;1979;70.93;35256645;9496484204
Benin;Africa;1962;42.618;2151895;9494990641
Belgium;Europe;1958;69.93;9052707;9477273558
Mexico;Americas;1992;71.455;88111030;9472384295
Spain;Europe;1970;72.24;33876479;9469633593
Bhutan;Asia;1982;47.872;1333704;9468129965
Libya;Africa;1997;71.555;4759670;9467446056
Burkina Faso;Africa;1997;50.324;10352843;9462949618
Iceland;Europe;1955;73.3;158044;9458671799
Guinea;Africa;2002;53.676;8807818;9455835837
Argentina;Americas;1972;67.065;24779799;9443038526
Norway;Europe;1950;71.6;3265126;9427920942
Guinea;Africa;2007;56.007;9947814;9426542111
Pakistan;Asia;1967;49.8;60641899;9424082588
Sweden;Europe;1955;72.6;7262388;9420620992
Lithuania;FSU;1998;71.31;3661168;9412969278
Slovenia;Europe;1967;69.18;1646912;9405489397
Hungary;Europe;1968;69.33;10263542;9403183999
Latvia;FSU;2001;70.32;2358232;9396422979
Slovak Republic;Europe;1971;69.88;4556627;9391969294
Russia;FSU;1993;65.24;148392385;9384318126
Finland;Europe;1962;68.75;4491443;9371842561
Austria;Europe;1959;68.42;7014331;9360853847
Macao  China;Asia;1972;66.42;261202;9344183089
Burkina Faso;Africa;1992;50.26;8878303;9317527731
Somalia;Africa;1997;43.795;6633514;9305964284
Poland;Europe;1975;70.77;33969240;9281984283
Equatorial Guinea;Africa;1982;43.662;285483;9278253427
Uganda;Africa;2002;47.813;24739869;9277210018
South Africa;Africa;2007;49.339;43997828;9269657808
Somalia;Africa;1992;39.658;6099799;9269602964
Poland;Europe;1986;70.93;37504275;9263851026
Somalia;Africa;2007;48.159;9118773;9261410683
Togo;Africa;1957;41.208;1357445;9259083202
Montenegro;Europe;2007;74.543;684736;9253896111
Portugal;Europe;1975;68.93;9411090;9251915675
Iceland;Europe;1957;73.47;165110;9244001412
Uruguay;Americas;1997;74.223;3262838;9230240708
Sweden;Europe;1954;72.36;7213490;9225152633
Botswana;Africa;1957;49.618;474639;9182325349
Poland;Europe;1980;70.28;35578016;9173321647
Croatia;Europe;1972;69.61;4225310;9164090127
Tanzania;Africa;1972;47.62;14706593;9159850592
Equatorial Guinea;Africa;1967;38.987;259864;9155960025
Finland;Europe;1961;69.04;4461004;9150501094
Argentina;Americas;1987;70.774;31620918;9139671389
Austria;Europe;1958;68.49;6987358;9137296178
Czech Republic;Europe;1959;69.92;9618554;9135702191
Latvia;FSU;1983;69.47;2569826;9127299087
Puerto Rico;Americas;1972;72.16;2847132;9123041742
Slovak Republic;Europe;1970;69.74;4523873;9121124006
Burkina Faso;Africa;1987;49.557;7586551;9120631417
Trinidad and Tobago;Americas;1982;68.832;1116479;9119528607
Ghana;Africa;1952;43.149;5581001;9112989371
Niger;Africa;1982;42.598;6437188;9097221354
Russia;FSU;2001;65.29;146018987;9091590235
Uganda;Africa;1967;48.051;8900294;9089185217
Poland;Europe;1989;71.1;37970155;9083714502
Poland;Europe;1987;70.98;37740710;9082351172
Brazil;Americas;2007;72.39;190010647;9065800825
Congo  Dem. Rep.;Africa;1957;40.652;15577932;9058602303
Congo  Dem. Rep.;Africa;1972;45.989;23007669;9048960685
Poland;Europe;1985;70.64;37225792;9046300125
France;Europe;1959;70.19;45239729;9040636982
Spain;Europe;1969;71.26;33566084;9039406707
Poland;Europe;1984;70.9;36904134;9030450647
Portugal;Europe;1972;69.26;8970450;9022247417
Mauritius;Africa;2002;71.954;1200206;9021815894
Italy;Europe;1965;70.27;51987100;9011540421
Argentina;Americas;1982;69.942;29341374;8997897412
Tanzania;Africa;2002;49.651;34593779;8990742111
Poland;Europe;1995;72.05;38600642;8986892389
Tajikistan;Asia;1997;64.26;6070759;8984787457
Nepal;Asia;1992;55.727;20326209;8977403604
Kenya;Africa;1962;47.949;8678557;8969663732
Slovak Republic;Europe;1969;69.81;4477625;8962512606
Latvia;FSU;1991;69.24;2651308;8960019583
Poland;Europe;1974;71.36;33642890;8950744008
Belgium;Europe;1954;68.63;8819380;8950306725
Cuba;Americas;2007;78.273;11416987;8948102923
Madagascar;Africa;2002;57.286;16473477;8946370822
Netherlands;Europe;1952;72.13;10381988;8941571858
Iraq;Asia;1967;54.459;8519282;8931459811
French Guiana;;2002;75.142;182333;8869848746
France;Europe;1958;70.16;44788852;8855252659
Hungary;Europe;1966;69.93;10184561;8854418758
Italy;Europe;1964;70.4;51600200;8821596841
Rwanda;Africa;1982;46.218;5507565;8815706467
Sweden;Europe;1953;71.9;7171461;8813990774
Netherlands;Europe;1950;71.45;10113527;8812238998
Czech Republic;Europe;1958;69.94;9574650;8811025887
Iceland;Europe;1954;73.36;154563;8800722567
Sierra Leone;Africa;1952;30.331;2143249;8797877358
Argentina;Americas;2002;74.34;38331121;8797640716
Sao Tome and Principe;;1952;46.471;60011;8795835855
Poland;Europe;1983;71.16;36571418;8786113972
Lithuania;FSU;1997;70.98;3664372;8764901122
Tanzania;Africa;1982;50.608;19844382;8742426069
Bulgaria;Europe;2004;72.54;7517973;8721228028
Mexico;Americas;1987;69.498;80122492;8688156003
Estonia;Europe;1996;69.94;1427827;8680183712
Latvia;FSU;2000;70.56;2376178;8649224406
Botswana;Africa;1997;52.556;1536536;8647142313
Belgium;Europe;1953;68.37;8777873;8645372292
Yemen  Rep.;Asia;1967;36.984;6740785;8624421463
Congo  Dem. Rep.;Africa;1967;44.056;19941073;8615932424
Sao Tome and Principe;;1957;48.945;61325;8607369026
Poland;Europe;1981;71.26;35901961;8606550203
Venezuela;Americas;2002;72.766;24287670;8605047831
Togo;Africa;1952;38.596;1219113;8598086567
Singapore;Asia;1972;69.521;2152400;8597756202
Latvia;FSU;1981;69.13;2536976;8578012786
South Africa;Africa;1982;58.161;31140029;8568266228
Finland;Europe;1960;69.01;4429600;8562873298
Sweden;Europe;1951;71.37;7072830;8545296586
Poland;Europe;1973;70.85;33331131;8533519956
Korea  Rep.;Asia;1987;69.81;41622000;8533088805
Greece;Europe;1967;71.0;8716441;8513097016
Botswana;Africa;1952;47.622;442308;8512411407
